name,category,source_item,source
Bocce,sports,,dariusk/corpora sports
Boccia,sports,,dariusk/corpora sports
Bodyboarding,sports,,dariusk/corpora sports
Bodybuilding,sports,,dariusk/corpora sports
Boffer Fighting,sports,,dariusk/corpora sports
Bokator,sports,,dariusk/corpora sports
Bolas Criollas,sports,,dariusk/corpora sports
Boli Khela,sports,,dariusk/corpora sports
Bossaball,sports,,dariusk/corpora sports
Bottle Pool,sports,,dariusk/corpora sports
Bouldering,sports,,dariusk/corpora sports
Boule Lyonnaise,sports,,dariusk/corpora sports
Boules,sports,,dariusk/corpora sports
Bowling,sports,,dariusk/corpora sports
Bowlliards,sports,,dariusk/corpora sports
Bowls,sports,,dariusk/corpora sports
Box Lacrosse,sports,,dariusk/corpora sports
Boxing,sports,,dariusk/corpora sports
Brazilian Jiu-Jitsu,sports,,dariusk/corpora sports
Breakaway Roping,sports,,dariusk/corpora sports
Breaststroke,sports,,dariusk/corpora sports
British Baseball,sports,,dariusk/corpora sports
British Bulldogs,sports,,dariusk/corpora sports
Bronc Riding,sports,,dariusk/corpora sports
Broomball,sports,,dariusk/corpora sports
BrÄNnboll,sports,,dariusk/corpora sports
Bujinkan,sports,,dariusk/corpora sports
Bullriding,sports,,dariusk/corpora sports
Bumper Pool,sports,,dariusk/corpora sports
Bungee Jumping,sports,,dariusk/corpora sports
Bunnock,sports,,dariusk/corpora sports
Bushwhacking,sports,,dariusk/corpora sports
Butterfly Stroke,sports,,dariusk/corpora sports
Butts Up,sports,,dariusk/corpora sports
Buzkashi,sports,,dariusk/corpora sports
Caid,sports,,dariusk/corpora sports
Calcio Fiorentino,sports,,dariusk/corpora sports
Calf Roping,sports,,dariusk/corpora sports
Calva,sports,,dariusk/corpora sports
Calvinball,sports,,dariusk/corpora sports
Cammag,sports,,dariusk/corpora sports
Camogie,sports,,dariusk/corpora sports
Campdrafting,sports,,dariusk/corpora sports
Canadian Football,sports,,dariusk/corpora sports
Canoe Polo,sports,,dariusk/corpora sports
Canoeing,sports,,dariusk/corpora sports
Canyoning,sports,,dariusk/corpora sports
Capoeira,sports,,dariusk/corpora sports
Capture The Flag,sports,,dariusk/corpora sports
Card Stacking,sports,,dariusk/corpora sports
Carom Billiards,sports,,dariusk/corpora sports
Casterboarding,sports,,dariusk/corpora sports
Casting,sports,,dariusk/corpora sports
Catch Games,sports,,dariusk/corpora sports
Catch Wrestling,sports,,dariusk/corpora sports
Cestoball,sports,,dariusk/corpora sports
Chariot Racing,sports,,dariusk/corpora sports
Charreada,sports,,dariusk/corpora sports
Checkers,sports,,dariusk/corpora sports
Cheerleading,sports,,dariusk/corpora sports
Chess Boxing,sports,,dariusk/corpora sports
Chicago,sports,,dariusk/corpora sports
Chilean Rodeo,sports,,dariusk/corpora sports
Chinese Handball,sports,,dariusk/corpora sports
Chinlone,sports,,dariusk/corpora sports
Choi Kwang-Do,sports,,dariusk/corpora sports
Cirit,sports,,dariusk/corpora sports
Clay Pigeon Shooting,sports,,dariusk/corpora sports
Cliff Diving,sports,,dariusk/corpora sports
Climbing,sports,,dariusk/corpora sports
Club,sports,,dariusk/corpora sports
Cluster Ballooning,sports,,dariusk/corpora sports
Cnapan,sports,,dariusk/corpora sports
Coastal And Ocean Rowing,sports,,dariusk/corpora sports
Coasteering,sports,,dariusk/corpora sports
Cockfighting,sports,,dariusk/corpora sports
Collar-And-Elbow,sports,,dariusk/corpora sports
Competitive Dancing,sports,,dariusk/corpora sports
Competitive Eating,sports,,dariusk/corpora sports
Competitive Swimming,sports,,dariusk/corpora sports
Composite Rules Shinty-Hurling,sports,,dariusk/corpora sports
Connect Four,sports,,dariusk/corpora sports
Cornhole,sports,,dariusk/corpora sports
Cornish Hurling,sports,,dariusk/corpora sports
Cornish Wrestling,sports,,dariusk/corpora sports
Cowboy Action Shooting,sports,,dariusk/corpora sports
Cowboy Polo,sports,,dariusk/corpora sports
Cowboy,sports,,dariusk/corpora sports
Creeking,sports,,dariusk/corpora sports
Cribbage,sports,,dariusk/corpora sports
Cricket,sports,,dariusk/corpora sports
Croquet,sports,,dariusk/corpora sports
Cross Country,sports,,dariusk/corpora sports
Cross-Country Mountain Biking,sports,,dariusk/corpora sports
Cross-Country Rally,sports,,dariusk/corpora sports
Cross-Country Running,sports,,dariusk/corpora sports
Cross-Country Skiing,sports,,dariusk/corpora sports
Crossfit,sports,,dariusk/corpora sports
Cue Sports,sports,,dariusk/corpora sports
Cuju,sports,,dariusk/corpora sports
Curling,sports,,dariusk/corpora sports
Cushion Caroms,sports,,dariusk/corpora sports
Cutthroat,sports,,dariusk/corpora sports
Cutting,sports,,dariusk/corpora sports
Cycle Polo,sports,,dariusk/corpora sports
Cycle Speedway,sports,,dariusk/corpora sports
Cycling,sports,,dariusk/corpora sports
Cyclo-Cross,sports,,dariusk/corpora sports
Czech Handball,sports,,dariusk/corpora sports
Dancesport,sports,,dariusk/corpora sports
Danish Longball,sports,,dariusk/corpora sports
Darts,sports,,dariusk/corpora sports
Deaf Basketball,sports,,dariusk/corpora sports
Decathlon,sports,,dariusk/corpora sports
Deep-Water Soloing,sports,,dariusk/corpora sports
Deer Hunting,sports,,dariusk/corpora sports
Demolition Derby,sports,,dariusk/corpora sports
Desert Racing,sports,,dariusk/corpora sports
Dice Stacking,sports,,dariusk/corpora sports
Dinghy Sailing,sports,,dariusk/corpora sports
Dirt Jumping,sports,,dariusk/corpora sports
Dirt Track Racing,sports,,dariusk/corpora sports
Disc Dog,sports,,dariusk/corpora sports
Disc Golf,sports,,dariusk/corpora sports
Discus,sports,,dariusk/corpora sports
Diving,sports,,dariusk/corpora sports
Dodge Disc,sports,,dariusk/corpora sports
Dodgeball,sports,,dariusk/corpora sports
Dominoes,sports,,dariusk/corpora sports
Double Disc Court,sports,,dariusk/corpora sports
Downhill Mountain Biking,sports,,dariusk/corpora sports
Drag Boat Racing,sports,,dariusk/corpora sports
Drag Racing,sports,,dariusk/corpora sports
Dragon Boat Racing,sports,,dariusk/corpora sports
Dressage,sports,,dariusk/corpora sports
Drifting,sports,,dariusk/corpora sports
Duathlon,sports,,dariusk/corpora sports
Dumog,sports,,dariusk/corpora sports
Eclipse Ball,sports,,dariusk/corpora sports
Egg And Spoon Race,sports,,dariusk/corpora sports
Egyptian Stick Fencing,sports,,dariusk/corpora sports
Eight-Ball,sports,,dariusk/corpora sports
Eight-Man Football,sports,,dariusk/corpora sports
Ekiden,sports,,dariusk/corpora sports
Elephant Polo,sports,,dariusk/corpora sports
Elle,sports,,dariusk/corpora sports
Endurance Racing,sports,,dariusk/corpora sports
Endurance Riding,sports,,dariusk/corpora sports
Enduro,sports,,dariusk/corpora sports
English Billiards,sports,,dariusk/corpora sports
English Pleasure,sports,,dariusk/corpora sports
English School Games,sports,,dariusk/corpora sports
Episkyros,sports,,dariusk/corpora sports
Equestrian Vaulting,sports,,dariusk/corpora sports
Equitation,sports,,dariusk/corpora sports
Eskrima,sports,,dariusk/corpora sports
Eton College,sports,,dariusk/corpora sports
Eton Fives,sports,,dariusk/corpora sports
Eton Wall Game,sports,,dariusk/corpora sports
Eventing,sports,,dariusk/corpora sports
Extreme Ironing,sports,,dariusk/corpora sports
F1 Powerboat Racing,sports,,dariusk/corpora sports
Fast-Pitch Softball,sports,,dariusk/corpora sports
Fastnet,sports,,dariusk/corpora sports
Fell Running,sports,,dariusk/corpora sports
Fencing,sports,,dariusk/corpora sports
Ferret Legging,sports,,dariusk/corpora sports
Field Archery,sports,,dariusk/corpora sports
Field Game,sports,,dariusk/corpora sports
Field Handball,sports,,dariusk/corpora sports
Field Hockey,sports,,dariusk/corpora sports
Field Lacrosse,sports,,dariusk/corpora sports
Field Target,sports,,dariusk/corpora sports
Fierljeppen,sports,,dariusk/corpora sports
Figure Skating,sports,,dariusk/corpora sports
Fishing,sports,,dariusk/corpora sports
Fistball,sports,,dariusk/corpora sports
Five-A-Side Football,sports,,dariusk/corpora sports
Five-Pins,sports,,dariusk/corpora sports
Fives,sports,,dariusk/corpora sports
Flag Football,sports,,dariusk/corpora sports
Flight Archery,sports,,dariusk/corpora sports
Floor,sports,,dariusk/corpora sports
Floorball,sports,,dariusk/corpora sports
Flutterguts,sports,,dariusk/corpora sports
Fly Fishing,sports,,dariusk/corpora sports
Flyak,sports,,dariusk/corpora sports
Flying Trapeze,sports,,dariusk/corpora sports
Folk Wrestling,sports,,dariusk/corpora sports
Folkrace,sports,,dariusk/corpora sports
Foosball,sports,,dariusk/corpora sports
Footbag Net,sports,,dariusk/corpora sports
Footbag,sports,,dariusk/corpora sports
Football Tennis,sports,,dariusk/corpora sports
Football,sports,,dariusk/corpora sports
Footvolley,sports,,dariusk/corpora sports
Formula Libre,sports,,dariusk/corpora sports
Formula Student,sports,,dariusk/corpora sports
Formula Racing,sports,,dariusk/corpora sports
Four Square,sports,,dariusk/corpora sports
Four-Ball,sports,,dariusk/corpora sports
Fox Hunting,sports,,dariusk/corpora sports
Free Running,sports,,dariusk/corpora sports
Free-Style Moto,sports,,dariusk/corpora sports
Freeboard,sports,,dariusk/corpora sports
Freeboating,sports,,dariusk/corpora sports
Freediving,sports,,dariusk/corpora sports
Freestyle Bmx,sports,,dariusk/corpora sports
Freestyle Footbag,sports,,dariusk/corpora sports
Freestyle Football,sports,,dariusk/corpora sports
Freestyle Motocross,sports,,dariusk/corpora sports
Freestyle Skiing,sports,,dariusk/corpora sports
Freestyle Swimming,sports,,dariusk/corpora sports
Freestyle Wrestling,sports,,dariusk/corpora sports
Freestyle,sports,,dariusk/corpora sports
Frisian Handball,sports,,dariusk/corpora sports
Frontenis,sports,,dariusk/corpora sports
Fujian White Crane,sports,,dariusk/corpora sports
Fullbore Target Rifle,sports,,dariusk/corpora sports
Futebol De SalÃO,sports,,dariusk/corpora sports
Futsal,sports,,dariusk/corpora sports
Ga-Ga,sports,,dariusk/corpora sports
Gaelic Football,sports,,dariusk/corpora sports
Gaelic Handball,sports,,dariusk/corpora sports
Gateball,sports,,dariusk/corpora sports
Gatka,sports,,dariusk/corpora sports
Geocaching,sports,,dariusk/corpora sports
Gig Racing,sports,,dariusk/corpora sports
Gliding,sports,,dariusk/corpora sports
Glima,sports,,dariusk/corpora sports
Goalball,sports,,dariusk/corpora sports
Goaltimate,sports,,dariusk/corpora sports
Goat Tying,sports,,dariusk/corpora sports
Golf,sports,,dariusk/corpora sports
Gouren,sports,,dariusk/corpora sports
Grand Prix Motorcycle Racing,sports,,dariusk/corpora sports
Grappling,sports,,dariusk/corpora sports
Grasstrack,sports,,dariusk/corpora sports
Greco-Roman Wrestling,sports,,dariusk/corpora sports
Greek Wrestling,sports,,dariusk/corpora sports
Gridiron Football,sports,,dariusk/corpora sports
Gungdo,sports,,dariusk/corpora sports
Guts,sports,,dariusk/corpora sports
Gymkhana,sports,,dariusk/corpora sports
Gymnastics,sports,,dariusk/corpora sports
Haggis Hurling,sports,,dariusk/corpora sports
Half Marathon,sports,,dariusk/corpora sports
Hammer Throw,sports,,dariusk/corpora sports
Hana Ichi Monme,sports,,dariusk/corpora sports
Handball,sports,,dariusk/corpora sports
Hang Gliding,sports,,dariusk/corpora sports
Hapkido,sports,,dariusk/corpora sports
Hardball Squash,sports,,dariusk/corpora sports
Hardcourt Bike Polo,sports,,dariusk/corpora sports
Hare Coursing,sports,,dariusk/corpora sports
Harness Racing,sports,,dariusk/corpora sports
Harpastum,sports,,dariusk/corpora sports
Harrow Football,sports,,dariusk/corpora sports
Haxey Hood,sports,,dariusk/corpora sports
Headis,sports,,dariusk/corpora sports
Heptathlon,sports,,dariusk/corpora sports
Hide And Seek,sports,,dariusk/corpora sports
High Bar,sports,,dariusk/corpora sports
High Jump,sports,,dariusk/corpora sports
High Power Rifle,sports,,dariusk/corpora sports
Highland Games,sports,,dariusk/corpora sports
Hiking,sports,,dariusk/corpora sports
Hillclimbing,sports,,dariusk/corpora sports
Hockey,sports,,dariusk/corpora sports
HojŌJutsu,sports,,dariusk/corpora sports
Hoop,sports,,dariusk/corpora sports
Hooverball,sports,,dariusk/corpora sports
Hopper Ballooning,sports,,dariusk/corpora sports
Hornussen,sports,,dariusk/corpora sports
Horse Polo,sports,,dariusk/corpora sports
Horse Racing,sports,,dariusk/corpora sports
Horseball,sports,,dariusk/corpora sports
Horseshoe Throwing,sports,,dariusk/corpora sports
Horseshoe,sports,,dariusk/corpora sports
Horseshoes,sports,,dariusk/corpora sports
Hot Air Balloon Racing,sports,,dariusk/corpora sports
Hot Air Ballooning,sports,,dariusk/corpora sports
Hot Box,sports,,dariusk/corpora sports
Human Powered Aircraft,sports,,dariusk/corpora sports
Hunter,sports,,dariusk/corpora sports
Hunter-Jumpers,sports,,dariusk/corpora sports
Hurdles,sports,,dariusk/corpora sports
Hurling,sports,,dariusk/corpora sports
Hwa Rang Do,sports,,dariusk/corpora sports
Hybrid Carom–Pocket Games,sports,,dariusk/corpora sports
Hybrid Codes,sports,,dariusk/corpora sports
Hydroplane Racing,sports,,dariusk/corpora sports
IaidŌ,sports,,dariusk/corpora sports
Iaijutsu,sports,,dariusk/corpora sports
Ice Climbing,sports,,dariusk/corpora sports
Ice Dancing,sports,,dariusk/corpora sports
Ice Fishing,sports,,dariusk/corpora sports
Ice Hockey,sports,,dariusk/corpora sports
Ice Racing,sports,,dariusk/corpora sports
Ice Speedway,sports,,dariusk/corpora sports
Ice Sports,sports,,dariusk/corpora sports
Ice Yachting,sports,,dariusk/corpora sports
Icosathlon,sports,,dariusk/corpora sports
Immersion Finswimming,sports,,dariusk/corpora sports
Individual Medley,sports,,dariusk/corpora sports
Indoor Archery,sports,,dariusk/corpora sports
Indoor Cricket,sports,,dariusk/corpora sports
Indoor Enduro,sports,,dariusk/corpora sports
Indoor Field Hockey,sports,,dariusk/corpora sports
Indoor Football,sports,,dariusk/corpora sports
Indoor Netball,sports,,dariusk/corpora sports
Indoor Soccer,sports,,dariusk/corpora sports
Inline Hockey,sports,,dariusk/corpora sports
Intercrosse,sports,,dariusk/corpora sports
International Fronton,sports,,dariusk/corpora sports
International Rules Football,sports,,dariusk/corpora sports
Jai Alai,sports,,dariusk/corpora sports
Janggi,sports,,dariusk/corpora sports
Javelin,sports,,dariusk/corpora sports
Jeet Kune Do,sports,,dariusk/corpora sports
Jet Sprint Boat Racing,sports,,dariusk/corpora sports
Jeu De Paume,sports,,dariusk/corpora sports
Jeu ProvenÇAl,sports,,dariusk/corpora sports
Jianzi,sports,,dariusk/corpora sports
Jittejutsu,sports,,dariusk/corpora sports
Jogo Do Pau,sports,,dariusk/corpora sports
Jorkyball,sports,,dariusk/corpora sports
Jousting,sports,,dariusk/corpora sports
Judo,sports,,dariusk/corpora sports
Jugger,sports,,dariusk/corpora sports
Juggling,sports,,dariusk/corpora sports
Jujutsu,sports,,dariusk/corpora sports
Jumping,sports,,dariusk/corpora sports
JŌDŌ,sports,,dariusk/corpora sports
JŪKendŌ,sports,,dariusk/corpora sports
Kabaddi,sports,,dariusk/corpora sports
Kajukenbo,sports,,dariusk/corpora sports
Kalaripayattu,sports,,dariusk/corpora sports
Karate,sports,,dariusk/corpora sports
Kart Racing,sports,,dariusk/corpora sports
Kayaking,sports,,dariusk/corpora sports
Keep Away,sports,,dariusk/corpora sports
Keepie Uppie,sports,,dariusk/corpora sports
Kelly Pool,sports,,dariusk/corpora sports
Kemari,sports,,dariusk/corpora sports
Kendo,sports,,dariusk/corpora sports
Kenjutsu,sports,,dariusk/corpora sports
KenpŌ,sports,,dariusk/corpora sports
Kho Kho,sports,,dariusk/corpora sports
Ki-O-Rahi,sports,,dariusk/corpora sports
Kick The Can,sports,,dariusk/corpora sports
Kickball,sports,,dariusk/corpora sports
Kickboxing,sports,,dariusk/corpora sports
Kilikiti,sports,,dariusk/corpora sports
Killer,sports,,dariusk/corpora sports
Kin-Ball,sports,,dariusk/corpora sports
Kindred Activities,sports,,dariusk/corpora sports
Kite Buggy,sports,,dariusk/corpora sports
Kite Fighting,sports,,dariusk/corpora sports
Kite Flying,sports,,dariusk/corpora sports
Kite Landboarding,sports,,dariusk/corpora sports
Kite Sports,sports,,dariusk/corpora sports
Kiteboarding,sports,,dariusk/corpora sports
Kitesurfing,sports,,dariusk/corpora sports
Knattleikr,sports,,dariusk/corpora sports
Kneeboarding,sports,,dariusk/corpora sports
Knife Throwing,sports,,dariusk/corpora sports
Korfball,sports,,dariusk/corpora sports
Krabi–Krabong,sports,,dariusk/corpora sports
Krav Maga,sports,,dariusk/corpora sports
Kubb,sports,,dariusk/corpora sports
Kuk Sool Won,sports,,dariusk/corpora sports
Kumdo,sports,,dariusk/corpora sports
Kung Fu,sports,,dariusk/corpora sports
Kurash,sports,,dariusk/corpora sports
KyŪDŌ,sports,,dariusk/corpora sports
KyŪJutsu,sports,,dariusk/corpora sports
La Soule,sports,,dariusk/corpora sports
Lacrosse,sports,,dariusk/corpora sports
Ladies' Gaelic Football,sports,,dariusk/corpora sports
Lancashire Wrestling,sports,,dariusk/corpora sports
Land Sailing,sports,,dariusk/corpora sports
Land Speed Records,sports,,dariusk/corpora sports
Land Windsurfing,sports,,dariusk/corpora sports
Laser Tag,sports,,dariusk/corpora sports
Legends Car Racing,sports,,dariusk/corpora sports
Lelo Burti,sports,,dariusk/corpora sports
Lethwei,sports,,dariusk/corpora sports
Letterboxing,sports,,dariusk/corpora sports
Limited Overs Cricket,sports,,dariusk/corpora sports
Logrolling,sports,,dariusk/corpora sports
Long Jump,sports,,dariusk/corpora sports
Longboarding,sports,,dariusk/corpora sports
Luge,sports,,dariusk/corpora sports
Lumberjack Sports,sports,,dariusk/corpora sports
Mahjong,sports,,dariusk/corpora sports
Malla-Yuddha,sports,,dariusk/corpora sports
Marathon,sports,,dariusk/corpora sports
Marching Band,sports,,dariusk/corpora sports
Marine Corps Martial Arts Program,sports,,dariusk/corpora sports
Marn Grook,sports,,dariusk/corpora sports
Masters Football,sports,,dariusk/corpora sports
Masters Rugby League,sports,,dariusk/corpora sports
Matball,sports,,dariusk/corpora sports
Match Play,sports,,dariusk/corpora sports
Matkot,sports,,dariusk/corpora sports
Medieval Football,sports,,dariusk/corpora sports
Medley Relay,sports,,dariusk/corpora sports
Mesoamerican Ballgame,sports,,dariusk/corpora sports
Metallic Silhouette Shooting,sports,,dariusk/corpora sports
Metallic Silhouette,sports,,dariusk/corpora sports
Metro Footy,sports,,dariusk/corpora sports
Midget Car Racing,sports,,dariusk/corpora sports
Mini Rugby,sports,,dariusk/corpora sports
Miniature Bull Riding,sports,,dariusk/corpora sports
Miniature Golf,sports,,dariusk/corpora sports
Miniten,sports,,dariusk/corpora sports
Mixed Climbing,sports,,dariusk/corpora sports
Mixed Martial Arts,sports,,dariusk/corpora sports
Mixed Or Hybrid,sports,,dariusk/corpora sports
Mob Football,sports,,dariusk/corpora sports
Mod League,sports,,dariusk/corpora sports
Model Aerobatics,sports,,dariusk/corpora sports
Model Aircraft,sports,,dariusk/corpora sports
Modern Arnis,sports,,dariusk/corpora sports
Modern Pentathlon,sports,,dariusk/corpora sports
Mongolian Wrestling,sports,,dariusk/corpora sports
Monster Truck,sports,,dariusk/corpora sports
Moscow Broomball,sports,,dariusk/corpora sports
Motocross,sports,,dariusk/corpora sports
Motorboat Racing,sports,,dariusk/corpora sports
Motorcycle Drag Racing,sports,,dariusk/corpora sports
Motorcycle Racing,sports,,dariusk/corpora sports
Motorcycle Speedway,sports,,dariusk/corpora sports
Motorized Sports,sports,,dariusk/corpora sports
Mountain Running,sports,,dariusk/corpora sports
Mountain Unicycling,sports,,dariusk/corpora sports
Mountainboarding,sports,,dariusk/corpora sports
Mountaineering,sports,,dariusk/corpora sports
Muay Thai,sports,,dariusk/corpora sports
Mud Bogging,sports,,dariusk/corpora sports
MÖLkky,sports,,dariusk/corpora sports
Naginatajutsu,sports,,dariusk/corpora sports
Netball,sports,,dariusk/corpora sports
Newcomb Ball,sports,,dariusk/corpora sports
Nguni Stick-Fighting,sports,,dariusk/corpora sports
Nine-A-Side Footy,sports,,dariusk/corpora sports
Nine-Ball,sports,,dariusk/corpora sports
Nine-Man Football,sports,,dariusk/corpora sports
Ninjutsu,sports,,dariusk/corpora sports
Noodling,sports,,dariusk/corpora sports
Nordic Combined,sports,,dariusk/corpora sports
Nordic Skiing,sports,,dariusk/corpora sports
Northern Praying Mantis,sports,,dariusk/corpora sports
Novuss,sports,,dariusk/corpora sports
Object Spinning,sports,,dariusk/corpora sports
Obstacle Variations,sports,,dariusk/corpora sports
Off-Road Racing,sports,,dariusk/corpora sports
Off-Roading,sports,,dariusk/corpora sports
Offshore Powerboat Racing,sports,,dariusk/corpora sports
Oina,sports,,dariusk/corpora sports
Okinawan KobudŌ,sports,,dariusk/corpora sports
Olympic Weightlifting,sports,,dariusk/corpora sports
One Day International,sports,,dariusk/corpora sports
One-Pocket,sports,,dariusk/corpora sports
Orienteering,sports,,dariusk/corpora sports
Outrigger Canoeing,sports,,dariusk/corpora sports
Oztag,sports,,dariusk/corpora sports
Paddleboarding,sports,,dariusk/corpora sports
Padel,sports,,dariusk/corpora sports
Padiddling,sports,,dariusk/corpora sports
Paintball,sports,,dariusk/corpora sports
Pair Skating,sports,,dariusk/corpora sports
Palant,sports,,dariusk/corpora sports
Paleta FrontÓN,sports,,dariusk/corpora sports
Pall Mall,sports,,dariusk/corpora sports
Palla,sports,,dariusk/corpora sports
Pankration,sports,,dariusk/corpora sports
Papi Fut,sports,,dariusk/corpora sports
Parachuting,sports,,dariusk/corpora sports
Paragliding,sports,,dariusk/corpora sports
Parallel Bars,sports,,dariusk/corpora sports
Paralympic Football,sports,,dariusk/corpora sports
Paralympic Volleyball,sports,,dariusk/corpora sports
Paramotoring,sports,,dariusk/corpora sports
Parasailing,sports,,dariusk/corpora sports
Parkour,sports,,dariusk/corpora sports
Patball,sports,,dariusk/corpora sports
Pato,sports,,dariusk/corpora sports
Pehlwani,sports,,dariusk/corpora sports
Pelota Mixteca,sports,,dariusk/corpora sports
Pencak Silat,sports,,dariusk/corpora sports
Pentathlon,sports,,dariusk/corpora sports
Personal Water Craft,sports,,dariusk/corpora sports
Peteca,sports,,dariusk/corpora sports
Pickleball,sports,,dariusk/corpora sports
Pickup Truck Racing,sports,,dariusk/corpora sports
Pitch And Putt,sports,,dariusk/corpora sports
Plate Spinning,sports,,dariusk/corpora sports
Platform Tennis,sports,,dariusk/corpora sports
Pocket Billiards,sports,,dariusk/corpora sports
Pole Bending,sports,,dariusk/corpora sports
Pole Climbing,sports,,dariusk/corpora sports
Pole Vault,sports,,dariusk/corpora sports
Polo,sports,,dariusk/corpora sports
Polocrosse,sports,,dariusk/corpora sports
Pommel Horse,sports,,dariusk/corpora sports
Pond Hockey,sports,,dariusk/corpora sports
Popinjay,sports,,dariusk/corpora sports
Power Hockey,sports,,dariusk/corpora sports
Powerbocking,sports,,dariusk/corpora sports
Powerchair Football,sports,,dariusk/corpora sports
Powered Hang Glider,sports,,dariusk/corpora sports
Powered Paragliding,sports,,dariusk/corpora sports
Powerlifting,sports,,dariusk/corpora sports
Practical Shooting,sports,,dariusk/corpora sports
Pradal Serey,sports,,dariusk/corpora sports
Production Car Racing,sports,,dariusk/corpora sports
Professional Wrestling,sports,,dariusk/corpora sports
Punchball,sports,,dariusk/corpora sports
PÉTanque,sports,,dariusk/corpora sports
Qianball,sports,,dariusk/corpora sports
Quidditch,sports,,dariusk/corpora sports
Rc Racing,sports,,dariusk/corpora sports
